"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",8347243.50534868,1736226649.11253,1.21366074299931,8347243.50534868,0.999838776045726,1736226649.11253,1.21366074299931,8347243.50534868,0.999838776045726,TRUE,1,0.72319224150458,NA,NA,0.0947848635936584,NA,NA,0.0947848635936584,0.0010121037394514,0,57444.6494709203,0.002658690126,20825168.3276808,1e-04,"1_169_6",1,169,6,1518,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"2","Total_Sales_B",-0.775168550199558,-305904764.965252,-0.213834181455819,0,0,-305904764.965252,-0.213834181455819,0,0,FALSE,1,0.72319224150458,NA,NA,0.0947848635936584,NA,NA,0.0947848635936584,0.0010121037394514,0,57444.6494709203,0.002658690126,20825168.3276808,1e-04,"1_169_6",1,169,6,1518,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"3","tv_A",5895.50514134975,74612.3237533717,5.21556608578201e-05,365.746685065547,4.38093986001961e-05,74612.3237533717,5.21556608578201e-05,365.746685065547,4.38093986001961e-05,TRUE,1,0.72319224150458,NA,NA,0.0947848635936584,NA,NA,0.0947848635936584,0.0010121037394514,0,57444.6494709203,0.002658690126,20825168.3276808,1e-04,"1_169_6",1,169,6,1518,2,120000,576.923076923077,845.092774596353,268.169697673276,225.463021421097,0.3,0.30071566541743,0.390802570463235,0.621769364611431,1.60831339869075,2,FALSE,0.710119429825715,0.116058909327666,0,1.67419200610377,0.348421618213166
"4","web_A",12429.9678618034,173503.528973491,0.000121282795650329,980.245926403904,0.000117414555673556,173503.528973491,0.000121282795650329,980.245926403904,0.000117414555673556,TRUE,1,0.72319224150458,NA,NA,0.0947848635936584,NA,NA,0.0947848635936584,0.0010121037394514,0,57444.6494709203,0.002658690126,20825168.3276808,1e-04,"1_169_6",1,169,6,1518,2,280000,1346.15384615385,1480.87831447238,134.724468318537,3.59965943631753,0.7,0.69928433458257,0.00267403272412159,0.619655460619611,1.61380002848691,2,FALSE,0.712128183033752,0.115351374341466,0,1.67065281459679,0.000589326354681716
"5","(Intercept)",8656244.49522307,1800498855.00639,1.25858843328631,8656244.49522307,0.999898503211682,1800498855.00639,1.25858843328631,8656244.49522307,0.999898503211682,TRUE,1,0.751734641074723,NA,NA,0.0897651834847837,NA,NA,0.0897651834847837,0.0709262028126636,0,5862.53836126727,0.0001815303247,20825168.3276808,1e-04,"1_204_1",1,204,1,1828,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"6","Total_Sales_B",-0.937814404407878,-370089698.411481,-0.258700866375977,0,0,-370089698.411481,-0.258700866375977,0,0,FALSE,1,0.751734641074723,NA,NA,0.0897651834847837,NA,NA,0.0897651834847837,0.0709262028126636,0,5862.53836126727,0.0001815303247,20825168.3276808,1e-04,"1_204_1",1,204,1,1828,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"7","tv_A",2352.58811984757,40186.3389009111,2.8091137728955e-05,196.991857357407,2.27548867670338e-05,40186.3389009111,2.8091137728955e-05,196.991857357407,2.27548867670338e-05,TRUE,1,0.751734641074723,NA,NA,0.0897651834847837,NA,NA,0.0897651834847837,0.0709262028126636,0,5862.53836126727,0.0001815303247,20825168.3276808,1e-04,"1_204_1",1,204,1,1828,1,120000,576.923076923077,873.765143826933,296.842066903856,344.743348603959,0.3,0.249847601027353,0.597555137580196,0.334886157507593,2.98608938465104,2,FALSE,0.710119429825715,0.116058909327666,0,1.67419200610377,0.576975853262308
"8","web_A",16285.8801932118,120657.0661815,8.43419519362909e-05,681.678340008473,7.87419015512374e-05,120657.0661815,8.43419519362909e-05,681.678340008473,7.87419015512374e-05,TRUE,1,0.751734641074723,NA,NA,0.0897651834847837,NA,NA,0.0897651834847837,0.0709262028126636,0,5862.53836126727,0.0001815303247,20825168.3276808,1e-04,"1_204_1",1,204,1,1828,1,280000,1346.15384615385,2483.5885250367,1137.43467888286,0.189013139290474,0.7,0.750152398972647,0.00014040976061578,0.430918093505356,2.32062662271936,2,FALSE,0.712128183033752,0.115351374341466,0,1.67065281459679,0.0547860084626797
"9","(Intercept)",8525295.88037304,1773261543.11759,1.23954895119958,8525295.88037304,0.999802267017789,1773261543.11759,1.23954895119958,8525295.88037304,0.999802267017789,TRUE,1,0.745176083028778,NA,NA,0.0909431418095953,NA,NA,0.0909431418095953,0.0137671419120554,0,24867.1362650206,0.001094199949,20825168.3276808,1e-04,"1_213_4",1,213,4,1912,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"10","Total_Sales_B",-0.869175515727888,-343002733.771697,-0.2397664803342,0,0,-343002733.771697,-0.2397664803342,0,0,FALSE,1,0.745176083028778,NA,NA,0.0909431418095953,NA,NA,0.0909431418095953,0.0137671419120554,0,24867.1362650206,0.001094199949,20825168.3276808,1e-04,"1_213_4",1,213,4,1912,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
