Date,Total_Sales_A,tv_A,web_A,tv_A,web_A,Total_Sales_B
2022-01-02,6485000.0,0.0,0.0,0.0,0.0,2275000.0
2022-01-09,6565000.0,0.0,0.0,0.0,0.0,2335000.0
2022-01-16,6635000.0,0.0,0.0,0.0,0.0,2220000.0
2022-01-23,6190000.0,0.0,0.0,0.0,0.0,2470000.0
2022-01-30,6465000.0,7500.0,0.0,7500.0,0.0,2300000.0
2022-02-06,6820000.0,7500.0,0.0,7500.0,0.0,1845000.0
2022-02-13,6740000.0,7500.0,0.0,7500.0,0.0,1930000.0
2022-02-20,6835000.0,7500.0,0.0,7500.0,0.0,1790000.0
2022-02-27,6990000.0,0.0,0.0,0.0,0.0,1860000.0
2022-03-06,7145000.0,0.0,0.0,0.0,0.0,1805000.0
2022-03-13,6945000.0,0.0,0.0,0.0,0.0,1845000.0
2022-03-20,6780000.0,0.0,0.0,0.0,0.0,1865000.0
2022-03-27,6965000.0,0.0,0.0,0.0,0.0,1820000.0
2022-04-03,6815000.0,0.0,0.0,0.0,0.0,1920000.0
2022-04-10,6785000.0,0.0,0.0,0.0,0.0,1745000.0
2022-04-17,7200000.0,0.0,0.0,0.0,0.0,1860000.0
2022-04-24,6900000.0,0.0,0.0,0.0,0.0,1945000.0
2022-05-01,6720000.0,0.0,0.0,0.0,0.0,2110000.0
2022-05-08,6560000.0,0.0,0.0,0.0,0.0,2075000.0
2022-05-15,6990000.0,0.0,0.0,0.0,0.0,2030000.0
2022-05-22,6460000.0,0.0,0.0,0.0,0.0,2115000.0
2022-05-29,6565000.0,0.0,0.0,0.0,0.0,2225000.0
2022-06-05,6565000.0,0.0,0.0,0.0,0.0,2175000.0
2022-06-12,6705000.0,0.0,0.0,0.0,0.0,2140000.0
2022-06-19,6430000.0,0.0,0.0,0.0,0.0,2305000.0
2022-06-26,6650000.0,0.0,0.0,0.0,0.0,2150000.0
2022-07-03,6420000.0,0.0,0.0,0.0,0.0,2275000.0
2022-07-10,6585000.0,0.0,0.0,0.0,0.0,2180000.0
2022-07-17,6480000.0,0.0,0.0,0.0,0.0,2240000.0
2022-07-24,6335000.0,0.0,0.0,0.0,0.0,2225000.0
2022-07-31,6430000.0,0.0,0.0,0.0,0.0,2325000.0
2022-08-07,6500000.0,0.0,17500.0,0.0,17500.0,2255000.0
2022-08-14,6840000.0,0.0,17500.0,0.0,17500.0,1905000.0
2022-08-21,6995000.0,0.0,17500.0,0.0,17500.0,1855000.0
2022-08-28,7045000.0,0.0,17500.0,0.0,17500.0,1685000.0
2022-09-04,7040000.0,0.0,0.0,0.0,0.0,1760000.0
2022-09-11,6990000.0,0.0,0.0,0.0,0.0,1775000.0
2022-09-18,6970000.0,0.0,0.0,0.0,0.0,1725000.0
2022-09-25,7005000.0,0.0,0.0,0.0,0.0,1745000.0
2022-10-02,6895000.0,0.0,0.0,0.0,0.0,1860000.0
2022-10-09,7105000.0,0.0,0.0,0.0,0.0,1765000.0
2022-10-16,7100000.0,0.0,0.0,0.0,0.0,1730000.0
2022-10-23,6930000.0,0.0,0.0,0.0,0.0,1795000.0
2022-10-30,6930000.0,0.0,0.0,0.0,0.0,1870000.0
2022-11-06,6870000.0,0.0,0.0,0.0,0.0,1895000.0
2022-11-13,6895000.0,0.0,0.0,0.0,0.0,1900000.0
2022-11-20,6780000.0,0.0,0.0,0.0,0.0,1980000.0
2022-11-27,6835000.0,0.0,0.0,0.0,0.0,1995000.0
2022-12-04,6795000.0,0.0,0.0,0.0,0.0,1940000.0
2022-12-11,6740000.0,0.0,0.0,0.0,0.0,1990000.0
2022-12-18,6710000.0,0.0,0.0,0.0,0.0,2070000.0
2022-12-25,6455000.0,0.0,0.0,0.0,0.0,2195000.0
2023-01-01,6610000.0,0.0,0.0,0.0,0.0,2110000.0
2023-01-08,6605000.0,0.0,0.0,0.0,0.0,2260000.0
2023-01-15,6570000.0,0.0,0.0,0.0,0.0,2310000.0
