DATE,DV_LUMINOUS_IMPRESSIONS,FB_LUMINOUS_IMPRESSIONS,GL_LUMINOUS_IMPRESSIONS,DV_MW_TOTAL_12_IMPRESSIONS,DV_NATURALS_IMPRESSIONS,FB_NATURALS_IMPRESSIONS,GL_NATURALS_IMPRESSIONS,DV_PLAX_IMPRESSIONS,FB_PLAX_IMPRESSIONS,GL_PLAX_IMPRESSIONS,FB_TOTAL_IMPRESSIONS,GL_TOTAL_IMPRESSIONS,DV_LUMINOUS_CLICKS,FB_LUMINOUS_CLICKS,GL_LUMINOUS_CLICKS,DV_MW_TOTAL_12_CLICKS,DV_NATURALS_CLICKS,FB_NATURALS_CLICKS,GL_NATURALS_CLICKS,DV_PLAX_CLICKS,FB_PLAX_CLICKS,GL_PLAX_CLICKS,FB_TOTAL_CLICKS,GL_TOTAL_CLICKS,DV_LUMINOUS_SPEND,FB_LUMINOUS_SPEND,GL_LUMINOUS_SPEND,TV_LUMINOUS_SPEND,DV_MW_TOTAL_12_SPEND,TV_MW_TOTAL_12_SPEND,DV_NATURALS_SPEND,FB_NATURALS_SPEND,GL_NATURALS_SPEND,DV_PLAX_SPEND,FB_PLAX_SPEND,GL_PLAX_SPEND,TV_PLAX_SPEND,FB_TOTAL_SPEND,GL_TOTAL_SPEND,TV_LUMINOUS_TRP,TV_MW_TOTAL_12_TRP,TV_PLAX_TRP,TP_LUMINOUS_SALES_VALUE,TP_NATURAL_EXTRACTS_SALES_VALUE,TP_TOTAL_SALES_VALUE,TP_COLGATE_NOAD_SALES_VALUE,TP_COMPETITORS_SALES_VALUE,TP_LUMINOUS_SALES_UNITS,TP_NATURAL_EXTRACTS_SALES_UNITS,TP_TOTAL_SALES_UNITS,TP_COLGATE_NOAD_SALES_UNITS,TP_COMPETITORS_SALES_UNITS,TP_LUMINOUS_SALES_VOLUME,TP_NATURAL_EXTRACTS_SALES_VOLUME,TP_TOTAL_SALES_VOLUME,TP_COLGATE_NOAD_SALES_VOLUME,TP_COMPETITORS_SALES_VOLUME,TP_LUMINOUS_AVG_PRICE,TP_NATURAL_EXTRACTS_AVG_PRICE,TP_TOTAL_AVG_PRICE,TP_COLGATE_NOAD_AVG_PRICE,TP_COMPETITORS_AVG_PRICE,MW_LUMINOUS_WHITE_SALES_VALUE,MW_PLAX_SALES_VALUE,MW_TOTAL_12_SALES_VALUE,MW_COMPETITORS_SALES_VALUE,MW_LUMINOUS_WHITE_SALES_UNITS,MW_PLAX_SALES_UNITS,MW_TOTAL_12_SALES_UNITS,MW_COMPETITORS_SALES_UNITS,MW_LUMINOUS_WHITE_SALES_VOLUME,MW_PLAX_SALES_VOLUME,MW_TOTAL_12_SALES_VOLUME,MW_COMPETITORS_SALES_VOLUME,MW_LUMINOUS_WHITE_AVG_PRICE,MW_PLAX_AVG_PRICE,MW_TOTAL_12_AVG_PRICE,MW_COMPETITORS_AVG_PRICE
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6355854.943044484,0.0,10800151.023203507,44237203.25305872,16181181.03304226,174682.9995851731,0.0,303322.00161670335,1945747.0192444744,626981.994654052,24589.0002369415,0.0,48898.99992465507,435006.9989064941,100308.9990625158,258.4836667533847,0.0,439.2269274526178,101.69308393717964,161.31335358014715,709568.0128335953,2994133.9687947184,0.0,11450729.04246673,28888.999842107292,79265.99877071567,0.0,210175.00119027682,4852.00010985136,27960.999822011217,0.0,79193.00011638552,146.24237361266933,107.08250734430827,0.0,144.59269159696228
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7554470.961783081,0.0,13599896.275181323,51112402.90092002,19591347.083592672,208212.0014829561,0.0,387176.0000643553,2122184.011816513,740517.0009339927,29299.999675131403,0.0,61581.999079091474,471863.99373435415,120744.00098924525,257.83177629844806,0.0,464.16028757585065,108.3202015403083,162.25524185949152,860536.99862957,3662912.013653666,0.0,13773267.983742058,36980.00083118677,102984.99953770079,0.0,256878.99952312,5876.999920234084,32677.00036824681,0.0,96957.00022892561,146.4245380822286,112.09449987377127,0.0,142.055426129335
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7084173.901408911,0.0,12802787.031475455,44314653.56794151,19512649.053350907,183274.0000297781,0.0,326982.0038458565,1682916.9866074808,739282.9906033585,25300.99973967299,0.0,53574.00016952306,373995.00192550477,119492.00029706117,279.9958094264805,0.0,506.01901755685043,118.48996200427418,163.2966977273943,750890.9945487976,3122295.9739379585,0.0,13697320.955203846,32222.99963235855,87864.0002127504,0.0,262527.99727697857,4929.999981075525,25911.99994785711,0.0,96577.00026594102,152.31054714628695,120.4961400208774,0.0,141.82798096323108
2018-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7688107.84041509,0.0,15229350.944563746,45727085.13064298,20100983.807285085,218720.99849861115,0.0,402687.00010410976,1735689.9987775832,773447.9995602742,28573.00006574951,0.0,71942.99878680613,385119.9987597065,123627.00048962142,269.0689750017127,0.0,532.9979669449967,118.73464187242621,162.59380012194487,812051.0158538818,3238473.9818051457,0.0,13816298.944463953,34639.00005817413,93457.00086979195,0.0,268860.0008757785,6095.999896526337,28454.999761888757,0.0,98576.99980575126,133.21047074108552,113.81036755946842,0.0,140.15742994501107
2018-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7159414.868587628,0.0,15092824.905451387,44225708.23568187,19135200.070981637,204398.99987715762,0.0,414077.00065127574,1717574.9910031445,798461.99882566,26050.000294460915,0.0,73990.99925463088,381499.9950971687,124772.99999352545,274.83358110018736,0.0,579.3790685161956,115.92584221244223,153.3601025219765,765430.004119873,3240948.9974863827,0.0,12647743.091234822,33477.99926996231,97504.00083325803,0.0,246094.99835269526,5911.999955773354,29903.00015558023,0.0,90929.99876511749,129.47057000100173,108.3820680408078,0.0,139.09318446055826
2018-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8976596.027903259,0.0,18897853.09515521,54690940.96945133,22300764.103344526,259065.00156130642,0.0,515257.0008892799,2068120.9929262986,879759.9947265116,33277.00021804776,0.0,91769.99945146963,463898.00314232707,140997.99916520715,269.7537629318765,0.0,567.8953322513119,117.89432288776587,158.1636919344845,922931.022644043,4177249.0128111094,0.0,14803079.924074933,38580.99973201752,119157.99900039565,0.0,286843.0008391151,7226.999953389168,40376.99966097716,0.0,105699.00079083163,127.70596770396075,103.45615196485889,0.0,140.04938375310505
2018-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7365398.940272629,0.0,13591959.768917412,42933181.113750555,19172696.135547828,220731.99982743245,0.0,352055.9972713236,1602565.0076610036,753767.9964568233,27392.999744508415,0.0,61347.00031450484,361530.00168979634,122656.00061416626,268.8788744923491,0.0,496.1836927568419,118.75413081370912,156.31274490889817,834850.9826660156,3434303.992720321,0.0,11951958.065599203,34172.9998588562,93368.00079396926,0.0,227229.99955236446,6528.999924659729,33796.99998209253,0.0,83855.00050149858,127.86812563939881,101.6156461975915,0.0,142.53125030254586
2018-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7625106.056079268,0.0,13924392.96444226,46999549.995641224,19817731.99007148,228998.00010351464,0.0,365959.00370075833,1805010.003397707,783590.9985477338,28791.000043973327,0.0,62329.99960973393,407148.9996932214,128236.00185080431,264.8433901022272,0.0,483.6370026457967,115.43574964215665,154.5410937961739,955712.0056152344,3826750.978536904,0.0,12101061.903165653,38177.9990196228,104446.0006847512,0.0,229038.0009105429,7748.0000257492065,38272.00034179259,0.0,83636.99951523449,123.34950986565337,99.98826673185762,0.0,144.68550968236784
2018-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7341205.940339714,0.0,13070826.023585163,45019002.778869584,18780299.033541117,219258.99917422794,0.0,342928.0021681916,1726011.9953794638,728149.0045012906,27290.99969449453,0.0,57889.00018983986,386768.0011977209,117596.99991752859,268.9973259506749,0.0,478.9427345976618,116.39795081148732,159.7004944574423,926322.998046875,3482383.993729949,0.0,11543422.076329589,37156.999588012695,90720.00011324417,0.0,214508.99951148313,7409.000039100647,34196.99990749359,0.0,77137.99985777587,125.02672333084752,101.83302638097366,0.0,149.64637529638978
2018-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8597190.973564982,0.0,15613494.992885739,52835957.70527038,20871748.075284995,281950.000338722,0.0,418814.00716432836,2009516.993160476,813688.994806027,34138.99965852033,0.0,71327.99923687708,451628.0012468342,131752.9993201606,251.8290242701741,0.0,457.35068833479886,116.98999521598142,158.41573385791787,1035761.9781494141,3954012.035612017,0.0,12779319.944213144,41189.000606536865,101009.00039833505,0.0,238577.00134115294,8426.999926567078,39184.000212932006,0.0,85958.0000799615,122.90993083838252,100.90884070348343,0.0,148.6693493604472
